Type	Name	Dataset	Reference
Clusters	Enhancer Hubs	enhancerHubs	@Miguel-Escalada2019
Clusters	Super Enhancers	superEnhancers	@Miguel-Escalada2019
Clusters	Enhancer Clusters	enhancerClusters	@Pasquali2014
Clusters	Stretch Enhancers	stretchEnhancers	@Parker2013
Clusters	COREs	cores	@Gaulton2010
Maps	Adult Islets - Chromatin Classes	chromatinClassesReduced	@Miguel-Escalada2019
Maps	Adult Islets -  Chromatin Classes	openChromatinClasses	@Pasquali2014
Maps	Pancreatic Progenitors	progenitors	@Cebola2015
Maps	Adult Islets - Chromatin States	chromatinStates	@Parker2013
SNPs	70KforT2D	70KforT2D	@Bonas-Guarch2018
SNPs	Diagram	diagram	@Morris2012
SNPs	Magic	magic	@Scott2012
TFs	Adult Islets – Structural	structure	@Miguel-Escalada2019
TFs	Pancreatic Progenitors	progenitors	@Cebola2015
TFs	Adult Islets – Tissue-specific	adult	@Pasquali2014
